Rk,I,Player,Split,Year,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
109,,Jean Machi,Last 7 days,2014,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
110,,Juan Perez,Last 14 days,2014,3,1,5,4,0,0,0,0,0,0,0,1,0,1,.000,.000,.000,.000,0,0,0,1,0,0,0,.000,,-100
111,,Ryan Vogelsong,Last 14 days,2014,3,3,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,-100,-100
112,,Sergio Romo,Last 7 days,2014,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
113,,J.C. Gutierrez,Last 7 days,2014,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
114,,Tim Hudson,Last 14 days,2014,2,2,5,5,0,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,1,1,0,0,0,0,0,.333,300,15
115,,Matt Cain,Last 14 days,2014,2,2,4,3,0,0,0,0,0,0,0,0,1,2,.000,.250,.000,.250,0,0,0,0,0,0,0,.000,0,-21
116,,Santiago Casilla,Last 7 days,2014,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
117,,Jeremy Affeldt,Last 7 days,2014,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
118,,Jeremy Affeldt,Last 14 days,2014,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
119,,David Huff,Last 7 days,2014,2,0,1,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,0,1.000,100,485
120,,Ryan Vogelsong,Last 7 days,2014,2,2,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,-100,-100
121,,Javier Lopez,Last 7 days,2014,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
122,,Jeremy Affeldt,Total,2014,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
123,,Madison Bumgarner,Last 14 days,2014,2,2,3,2,1,1,0,0,1,5,0,0,0,0,.500,.333,2.000,2.333,4,0,0,0,1,0,0,.000,143,520
124,,Yusmeiro Petit,Last 7 days,2014,2,0,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
125,,Jeremy Affeldt,Last 28 days,2014,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
Rk,I,Player,Split,Year,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
126,,Tim Hudson,Last 7 days,2014,1,1,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,1,1,0,0,0,0,0,.500,900,193
127,,Tim Lincecum,Last 7 days,2014,1,1,3,1,0,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,0,0,0,1,0,0,0,,,58
128,,Matt Cain,Last 7 days,2014,1,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,-100,-100
129,,Madison Bumgarner,Last 7 days,2014,1,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,-100,-100
